trialCount, launchingTime, launchingPosition.x, launchingPosition.y, launchingPosition.z, launchingAngles.x ,launchingAngles.y, launchingAngles.z, launchingLinearVelocity.x ,launchingLinearVelocity.y, launchingLinearVelocity.z, launchingAngularVelocity.x, launchingAngularVelocity.y, launchingAngularVelocity.z, landingPoint1.x, landingPoint1.y, landingPoint1.z, landingPoint1LinearVelocity.x, landingPoint1LinearVelocity.y, landingPoint1LinearVelocity.z, landingPoint1AngularVelocity.x, landingPoint1AngularVelocity.y, landingPoint1AngularVelocity.z, landingPoint1Quarter, paddleCollisionPosition.x, paddleCollisionPosition.y, paddleCollisionPosition.z, paddleCollisionLinearVelocity.x, paddleCollisionLinearVelocity.y, paddleCollisionLinearVelocity.z, paddleCollisionAngularVelocity.x, paddleCollisionAngularVelocity.y, paddleCollisionAngularVelocity.z, landingPoint2.x, landingPoint2.y, landingPoint2.z, landingPoint2LinearVelocity.x, landingPoint2LinearVelocity.y, landingPoint2LinearVelocity.z, landingPoint2AngularVelocity.x, landingPoint2AngularVelocity.y, landingPoint2AngularVelocity.z, landingPoint2Quarter, tableReferencePoint.x, tableReferencePoint.y, tableReferencePoint.z, isHit
1,187.1442,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8148727,0.5031948,0,1.802995,-3.398273,-99.38056,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8234115,-0.633121,0,2.133782,-2.112865,-54.2855,0,0,1,-1.0585,0.76,-1.162,TRUE
2,188.9304,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8148727,0.5031948,0,1.802995,-3.398273,-99.38056,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8234115,-0.633121,0,2.133782,-2.112865,-54.2855,0,0,1,-1.0585,0.76,-1.162,TRUE
3,190.1371,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8148727,0.5031948,0,1.802995,-3.398273,-99.38056,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8234115,-0.633121,0,2.133782,-2.112865,-54.2855,0,0,1,-1.0585,0.76,-1.162,TRUE
4,191.5998,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8148727,0.5031948,0,1.802995,-3.398273,-99.38056,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8234115,-0.633121,0,2.133782,-2.112865,-54.2855,0,0,1,-1.0585,0.76,-1.162,TRUE
5,192.7944,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8148727,0.5031948,0,1.802995,-3.398273,-99.38056,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8234115,-0.633121,0,2.133782,-2.112865,-54.2855,0,0,1,-1.0585,0.76,-1.162,TRUE
6,201.8884,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.821,0.8167463,0.5329161,0,1.910597,-4.924924,-221.2424,0,0,5,0,0,0,0,0,0,0,0,0,-1.821,0.8008271,-0.1575292,0,2.246507,-0.7933398,-52.32473,0,0,3,-1.0585,0.76,-1.162,TRUE
7,251.689,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.253006,0.9964717,-1.580871,0.1284929,1.111773,2.410729,-25.14698,12.03672,-15.86734,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
8,253.0066,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.248069,1.024162,-1.502486,1.33432,2.919724,5.501504,0.7226429,-136.8646,82.79878,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
9,254.4594,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.293289,1.023498,-1.455796,-1.201957,1.830517,1.74131,-54.8185,-17.11671,4.102015,-1.880866,0.82528,-0.5801208,-0.9940274,2.519084,1.293522,35.2148,-14.00554,27.1291,2,-1.0585,0.76,-1.162,FALSE
10,256.7725,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.290976,1.007852,-1.41767,-1.920593,1.665648,8.641282,-107.3186,2.78E-07,-20.63819,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
11,258.0113,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.27724,0.9996483,-1.32657,1.77599,-0.9034541,5.329776,-141.6997,-126.8418,35.76273,-1.029074,0.773824,-0.574692,1.744806,-1.854552,5.035402,-114.9275,-126.5413,28.55072,1,-1.0585,0.76,-1.162,FALSE
12,259.0052,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.318614,1.040073,-1.311948,-1.939827,2.733248,6.668398,2.767192,-3.062695,8.157915,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
13,260.3904,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.286019,1.024497,-1.420534,0.5452754,1.467287,-0.7731451,-103.0012,1.746481,-21.26048,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
14,261.8202,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.286063,1.005148,-1.445932,-4.214307,2.953444,6.316757,-91.75389,-5.694445,-8.337771,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
15,262.7359,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.29802,0.9980639,-1.387041,-2.895718,2.098348,7.444937,-46.94081,-3.49887,-7.723243,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
16,264.0576,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.294747,1.008988,-1.398277,-3.773953,4.03135,5.513108,-106.6137,-0.4997989,-19.37961,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
17,264.9501,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.282315,1.004275,-1.462709,-1.517737,2.588307,4.451236,-106.8416,2.76E-07,-20.54647,-2.124239,0.8205993,0.9981719,-0.981375,2.839,2.706724,95.13943,-8.44E-05,34.52192,8,-1.0585,0.76,-1.162,TRUE
