trialCount, launchingTime, launchingPosition.x, launchingPosition.y, launchingPosition.z, launchingAngles.x ,launchingAngles.y, launchingAngles.z, launchingLinearVelocity.x ,launchingLinearVelocity.y, launchingLinearVelocity.z, launchingAngularVelocity.x, launchingAngularVelocity.y, launchingAngularVelocity.z, landingPoint1.x, landingPoint1.y, landingPoint1.z, landingPoint1LinearVelocity.x, landingPoint1LinearVelocity.y, landingPoint1LinearVelocity.z, landingPoint1AngularVelocity.x, landingPoint1AngularVelocity.y, landingPoint1AngularVelocity.z, landingPoint1Quarter, paddleCollisionPosition.x, paddleCollisionPosition.y, paddleCollisionPosition.z, paddleCollisionLinearVelocity.x, paddleCollisionLinearVelocity.y, paddleCollisionLinearVelocity.z, paddleCollisionAngularVelocity.x, paddleCollisionAngularVelocity.y, paddleCollisionAngularVelocity.z, landingPoint2.x, landingPoint2.y, landingPoint2.z, landingPoint2LinearVelocity.x, landingPoint2LinearVelocity.y, landingPoint2LinearVelocity.z, landingPoint2AngularVelocity.x, landingPoint2AngularVelocity.y, landingPoint2AngularVelocity.z, landingPoint2Quarter, tableReferencePoint.x, tableReferencePoint.y, tableReferencePoint.z, isHit
1,31.36115,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.290168,1.007602,-1.421872,-0.2160009,1.831839,1.995624,-107.3186,2.78E-07,-20.63819,-1.440799,0.8084583,-0.06385609,-0.1001004,2.575087,1.202363,62.4768,-2.97467,5.181859,3,-1.0585,0.76,-1.162,FALSE
2,34.6002,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.312519,1.049463,-1.265613,-0.6164616,3.448092,6.809123,-82.71437,-3.226566,-16.44577,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
3,36.00731,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.301024,1.029683,-1.362519,-0.356894,1.79768,2.116981,-51.37464,1.017013,-10.67555,-1.450266,0.8086556,-0.3810192,-0.1709326,2.453096,1.213294,58.41398,0.8478684,8.22328,3,-1.0585,0.76,-1.162,FALSE
4,41.02279,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.284502,1.00527,-1.451336,-0.6480745,2.311577,2.390215,-106.8416,2.76E-07,-20.54647,-1.611368,0.8143604,-0.2397206,-0.3431963,2.682312,1.150767,47.97639,0.000192389,14.32668,3,-1.0585,0.76,-1.162,FALSE
5,44.95528,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.308036,1.011207,-1.328958,-0.1938092,2.157765,1.797172,-108.2789,2.80E-07,-20.82287,-1.401172,0.8036323,-0.4479458,0.01508911,2.639572,0.2950792,21.37755,0.000187174,-1.156485,3,-1.0585,0.76,-1.162,FALSE
6,50.87457,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.307688,1.011199,-1.33077,-0.1987865,1.801371,2.060496,-108.2789,2.80E-07,-20.82287,-1.428417,0.8195785,-0.02356574,-0.1284064,2.526698,1.68016,54.29524,-5.725231,4.134107,3,-1.0585,0.76,-1.162,FALSE
7,53.5771,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.303002,1.010717,-1.355139,-0.7894216,2.852196,6.175807,-107.7977,2.79E-07,-20.73033,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
8,54.50531,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.31159,1.011281,-1.31048,-0.3441282,3.196828,5.444795,-108.2789,2.80E-07,-20.82287,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
9,55.97928,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.305219,1.037373,-1.322201,0.0400451,2.360806,1.715809,-77.19633,8.202096,-20.36885,-1.280615,0.7993706,-0.3482557,0.09525615,2.845834,0.05136027,6.83277,6.506998,-13.54222,3,-1.0585,0.76,-1.162,FALSE
10,60.36929,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.321434,1.038896,-1.233521,0.1386305,2.577883,1.596888,-58.30759,6.251318,-17.93501,-1.247394,0.8234897,-0.2788204,0.1564936,2.896757,1.05782,34.42275,4.914485,-5.131575,3,-1.0585,0.76,-1.162,FALSE
11,63.63026,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.316525,1.011064,-1.284815,-0.07366788,3.796171,4.776866,-108.7623,2.81E-07,-20.91583,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
12,65.17171,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.310385,1.011256,-1.316746,-0.4013575,3.57084,4.308673,-108.2789,2.80E-07,-20.82287,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
13,66.6935,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.316129,1.049231,-1.244246,-0.1637785,3.411299,4.688729,-82.65247,-3.514551,-16.68076,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
14,68.19245,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.307278,1.011191,-1.332903,-0.04733384,2.704782,4.621301,-108.2789,2.80E-07,-20.82287,-1.333762,0.8104631,1.296901,0.06875122,2.943058,1.968856,114.945,-0.000183085,-4.061037,7,-1.0585,0.76,-1.162,TRUE
15,70.19775,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.303367,1.038566,-1.30079,0.2069823,2.468227,3.642933,-63.4604,5.298504,-19.241,-1.191148,0.8263609,0.6511387,0.214135,2.836465,2.484334,72.55052,4.183503,-6.288914,5,-1.0585,0.76,-1.162,TRUE
16,72.15341,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.310074,1.011249,-1.31836,-0.7489414,3.185231,5.068239,-108.2789,2.80E-07,-20.82287,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
17,73.75388,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.309718,1.011242,-1.320212,-0.44053,2.944829,3.965334,-108.2789,2.80E-07,-20.82287,-1.571961,0.8338646,1.06168,-0.2696058,3.041719,2.657254,67.24509,0.000110072,6.80942,7,-1.0585,0.76,-1.162,TRUE
18,75.7947,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.311172,1.011272,-1.312653,-0.5337463,3.443069,4.373204,-108.2789,2.80E-07,-20.82287,-1.670778,0.7239771,1.654915,-0.4232556,-3.818175,3.476345,-79.62754,7.44E-05,-15.31302,7,-1.0585,0.76,-1.162,TRUE
19,77.29209,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,0,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.311328,1.011275,-1.311842,-0.858873,3.087879,4.087898,-108.2789,2.80E-07,-20.82287,-1.847828,0.8147455,1.233965,-0.3879847,3.18402,1.800966,96.09641,-8.80E-05,20.7066,8,-1.0585,0.76,-1.162,TRUE
20,55.74396,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.321518,1.035243,-1.230067,0.130973,2.249337,1.907758,-54.82627,8.040517,-17.94829,-1.255698,0.8227821,-0.2497279,0.1566306,2.697375,1.265033,39.24969,6.463518,-4.896444,3,-1.0585,0.76,-1.162,FALSE
21,58.96033,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.318637,1.010804,-1.273834,-0.3972319,1.793238,2.059521,-108.7623,2.81E-07,-20.91583,-1.489497,0.8183218,-0.3879981,-0.2221383,2.386409,1.150577,36.76004,1.43E-06,7.097272,3,-1.0585,0.76,-1.162,FALSE
22,63.13912,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.326196,1.009413,-1.234525,-0.06270194,2.819316,4.687463,-109.2479,2.82E-07,-21.0092,-1.361096,0.8029118,1.533064,0.0578038,3.028154,2.120679,10.34144,3.49E-05,-10.11907,7,-1.0585,0.76,-1.162,TRUE
23,65.13774,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.325647,1.009559,-1.237384,0.05888617,2.65205,5.070896,-109.2479,2.82E-07,-21.0092,-1.290302,0.8067223,1.626777,0.1127005,1.520405,3.921396,121.2495,-2.130213,-4.266664,7,-1.0585,0.76,-1.162,TRUE
24,66.82369,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.319886,1.010651,-1.267339,0.2548064,2.297136,4.92127,-108.7623,2.81E-07,-20.91583,-1.188084,0.8292515,1.23867,0.2555033,2.63637,3.472341,88.15421,4.58E-05,-6.527458,7,-1.0585,0.76,-1.162,TRUE
25,35.08044,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.345963,1.00131,-1.131738,-0.2424715,3.433901,4.927134,-110.2255,2.85E-07,-21.1972,0,0,0,0,0,0,0,0,0,0,-1.0585,0.76,-1.162,FALSE
26,26.31117,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.33532,1.00646,-1.187084,0.1623151,1.595932,2.276624,-109.7356,2.84E-07,-21.10299,-1.268268,0.8164079,-0.2641145,0.1994371,2.272702,1.322066,43.16518,0.000151145,-6.57091,3,-1.0585,0.76,-1.162,FALSE
27,14.57197,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.333055,1.007388,-1.198862,-0.1464408,1.95095,2.053764,-109.7356,2.84E-07,-21.10299,-1.398057,0.8253241,-0.2755238,-0.04923933,2.44199,1.258282,33.34821,-8.02E-07,1.280376,3,-1.0585,0.76,-1.162,FALSE
28,48.60708,-1.821,0.9974017,1.338454,10.91114,0,0,0,0,-1.3,0,0,0,-1.465497,0.8200516,-0.5101617,0.8226971,2.065022,-4.278024,-117.318,3.03E-07,-22.56116,3,-1.325175,1.009685,-1.239835,0.5155087,1.598407,2.225133,-109.2479,2.82E-07,-21.0092,-1.115009,0.8153166,-0.3269474,0.4620449,2.283511,1.274985,43.35124,0.000205375,-15.80683,3,-1.0585,0.76,-1.162,TRUE
